full_text,sentiment
 siapa tau dgn kehadiran si komeng petani jadi semangat kerjanya,positive
 inilah wajah pembentukan parlemen yang seringkali menempatkan pejabat bukan di bidang yg dikuasai ini faktor yng bikin indonesia gerak jalan ditempat big thanks komeng sudah membuka fakta ini,neutral
 komeng jg aneh jadi dpd pgn ke satu bidang tertentu udh tau bakal ditunjuk di bidang apapun yg mana semuanya sesuai kebutuhan rakyat rakyat jg butuh kebutuhan primer selain seni dan budaya kocak,neutral
 katanya komeng,neutral
 tai bgt pas bilang temen temen pengen dpt hiburan woy komeng senator suara terbanyak rakyat pengen komeng bekerja,neutral
 komeng lagi ngingetin yang lain jangan iya iya aja nerima posisi atau jabatan yang bukan bidang keahliannya ,negative
 dari segitu banyak yg masih punya nalar hanya bang komeng lainnya sakit pantesan rangorang sekarang gak antusias kalo soal pemilu legislatif,negative
 eh komeng nongol,neutral
 secara ga langsung merendahkan kemampuan bang komeng,neutral
 dikira komeng disana buat jd badut hiburan lu lu pada kocakkkkkkkk,negative
mang stupid pemerintah konoha tuh padahal yg diomongin komeng ini bener malah diketawain nggak lucu anjir arghhhh kesel bgt kenapa saya wni ,negative
  padahal kan tujuan bang komeng ngikut pemilu ya buat seni supaya ada wakil suara seniman di pemerintahan ,positive
 kejujuran bng komeng yg dibalut dng komedilawak,positive
 barusan dah komeng wkwk tar klo aku difolbek km bikin au denghan ya,positive
pak komeng mau kerja bukan menghibur pimpinan dungu,positive
 so asik bgt komite mau hiburan org komeng mau kerja di bidangnya pantes ga maju kerja ga sesuai bidangnya terus,positive
saya siap bantu kang komeng  di komisi pertanian walaupun ane sdh tuwir ,neutral
 citacita komeng gak tercapai dong ya berarti buat memperjuangkan seni budaya ,neutral
 eh kocak mau dapet hiburan gmn mksdnye dikata si komeng ni badut ape koncol lu nyloncong lm bjir,neutral
 nih orang ngelucu didepan komeng yang lagi mode serius,neutral
 berarti kelasnya komeng masih tetap pelawak hahah lucu ini dewan,positive
  ini orang paham tempat basah gak sih atau yang dia pahami kalo basah itu mesti mandi btwrespect atas idealismenya good job bang komeng ,negative
 omongan komeng benar semua tapi kwan kawannya malah menganggap komeng lagi berkomedi ,negative
komeng masuk dpo biar bisa menyuarakan aspirasi para budayawan amp seniman bukan mau menghibur anggota dewan pak ketua,neutral
 ini padahal bang komeng nanya serius nya spontan ajauhuuuuyyy,neutral
 komeng core,neutral
 kalo dpd mau hiburan undang aja andre taulany wendy ayu ting dkk atau biduan dangdut pantura ni anggota senat gini amat kacaunya kasian pak komeng,neutral
demo aja klo bang komeng gk bisa ngurusin budaya,neutral
 masuk ke rapat komeng ternyata kalah lucu ,negative
 ini jadi satu fakta bahwa sebagian besar org yg ditemptkan pda posisi yg tdk sesuai bidang hanya akan menghasilkan hasil yg tdk baik komeng blakan bahwa ia ydk bsa dipaksa belajar cepat belajar cepat hanya imajinasi,positive
dpd ini pimpinanya lawak bgt komeng duduk disitu buat kerja sesuai kemampuan dia kocak bukan buat ngelawak ampun dah nih,neutral
 makin seru dah tuh di dpd ada bang komeng semoga amanah ya bang komeng ,positive
 dpd harusnya bisa independen dlm hal ini krn komeng bukan dr partai sy setuju dg bang komeng yg keberatan jika ditugaskan disektor yg tdk dikuasai mohon lah yg memahami tatanegara beri masukan bgmana cara komeng bisa dibidang yg sesuai visinyajt suara loh,positive
 sabar bang komeng seengganya bang komeng tau gimana orang disana setidaknya bang komeng dah berniat baik masuk sana,positive
pada tanggal  oktober komeng menghadiri reuni di sma  tempat ia menempuh pendidikan selama masa remajanya  ,positive
katalog lengkapnya cek di  shopee  tiktok  lazada  tokopedia   king indo  oktober menang tiket pesawat klepon sma  erspo komeng ,neutral
bener bang komeng emang harus sesuai bidang,neutral
 ane harap rapat dpd live terus dan komeng hadir terus pengen lihat funny nya dia di parlemen lawak konoha ini  ,neutral
 komeng dipilih warga jabar termasuk saya bukan untuk menghibur anggota komite ii ,positive
 oh gapapa sih kalau mau nangkep komeng,negative
momen komeng protes minta pindah komite saya gak paham isu pertanian pak ketua anggota dewan perwakilan daerah dpd republik indonesia ri alfiansyah komeng protes ke ketua dpd ri sultan b najamudin karena ditugaskan di komite ii ,neutral
 komeng bakal kembali ke stelan pabriknya jika dia seorang yg idealis jika seorang yg realistis maka nikmati aja meng,positive
komeng protes kuasai bidang seni disuruh urus pertanian            viral ,neutral
biar banyak hiburan jdi pak komeng disana bertugas jdi dpd apa artis penghibur,negative
 tai bgt komeng di anggap badut di dpd,neutral
ono wong meh marani aku kebanan malah keentekan bengsin genti mung komeng tok,negative
 sangat mengerti  tapi menempatkan org pada bidang yg bukan kompetensinya adalah ketidak mengertian anda pak dg mslah yg jujur diakui pa komeng org keahliannya ngelawak senibudaya suruh ngawasin cetak sawah sama subsidi pupuk kan ngawur,positive
ngga salah salah amat komeng suara ngelebihin psi,negative
 komeng gk salah yg salah itu yg milih dia kemaren ,negative
denger pertanyaan komeng jadi mikir kenapa pemilihan wakil rakyat ga dibuat seperti cari kerja aja ya ada skill requirements dan kebutuha jumlah orang jadi nanti yang daftar sesuai keahliannya tuh yang milih juga lebih enak ga kayak milih kucing dalam karung kek sekarang,negative
 pantesan negara begini terus nempatin org bukan pada tempatnya masa kaga tahu kalo komeng pengennya dibidang seni budaya yg ahlinya ini malah di tempatin d tempat lain,neutral
 kasi faham bang komeng ,positive
senator komeng ngaku tak paham ditugasi di komite ii dpd saya harus belajar ke mana ,negative
 mantap bg komeng ginilah rupa asli pemerintahan kita orang yg punya kapasitas di bidang itu malah ditaroh di tempat lain dan orang yg ga berkapasitas malah asal ditempatkan pelawak udah mulai serius eh malah kalian yg makin lawak,negative
ini klo bukan komeng yang ngomong dikucilin peserta sidang kali,negative
 mak mak dapil jabar kelen wajib bela niiiih ke pimpinan biar gak sia perjuangan pak komeng ,positive
tolong pindahin komeng sekarang ke bagian senbud ,neutral
 harusnya komite berapa bang komeng komite iii ya baru saja dilantik sudah mulai dikerjain spontan bang uhuyyy begitulah bang dunia politik praktis para senator amp legislator skr ini mulai agak puyeng bang lambaikan tangan bang kalau mau berhentiin taksi,neutral
aduhhh sayang bener bang komeng yang kaya pengalaman di bidang seni budaya malah di taro pertanian anehh bener yang nempatin,positive
 komeng,positive
  take your time bang komeng semoga cepet sembuh ya ,positive
 kasihan komeng malah urusin pertanian ,negative
 pimpinannya aja ga tau apa yg seharusnya dia kerjakan liat saja komeng dikasih di komisi  biar dikomisi  terhibur kan asu rakyat bayar pajak kasih gaji komeng cuma buat menghibur komisi dua dewan pelawak daerah,negative
untuk menempatkan seseorang di tempat yang sesuai kapasitasnya saja tak mampu pejabat negara ini apalagi disuruh menyelesaikan masalah aihhh makk bang komeng malang melintang di dunia seni dengan pengalaman yang ga bisa dibayangkan malah ditempatkan di pertanian ini antara,positive
mantab pak komeng itu baru betul kalau nanti kerja pak komeng tdk berkembang tdk bisa disalahkan karena tdk bidangnya yg membuat kelengkapan perlu jeli melihat kemampuan seseorang komeng sdh nyata berkelit dibidang seni budaya kok ditkan yg bukan bidangnya,positive
 dari semua pejabat baru bang komeng yg berani protes karna memang bukan bidangnya dia berharap ada di kesenian dan budaya yg dia sudah membidanginya,negative
 dngn adanya bang komeng di parlemen bobroknya legislatif terlihat dgn komedi satirnya,positive
padahal omongannya komeng masuk akal lho kok malah pada ketawa dah itu,negative
 slamet bang komeng dh dpt kursi beritanya mingkinan bikin saya suka pas tau abang di bidang pertanian,neutral
 waduh mohon  kasih bang komeng sesuai kapasitas nya ini yg pelawak aja serius tapi kok malah kalian yg melawak,negative
 padahal niat bang komeng masuk komisi  biar bisa jadiin hari komedi nasional eh malah dimasukkin ke komisi  wajar dia gak terima lagian aneh juga yang bagiin komisinya,positive
 komeng juga kmg ,positive
ga osah nonton acara komedi lagi ini lucu bangett waduh bang komeng pakde indro tiati punya saingan wkwkwk,positive
komeng protes ditugaskan di komite ii dpd ri saya harus belajar ke mana  ,neutral
 lucu bngt jwbn pimpinannya tmn² mau komeng di komite  biar ada lucunya lah komeng ini jd dpd bukan diundang buat nglawak ,neutral
 blokir semua situs judol komeng  seventeen kendrick the eu,neutral
 keliatan banget bg komeng nya nggak nyaman dan kecewa ms pun alasannya para senator  juga nyeleneh kek ndak ada isinya bukan baitu uni   mesti dicerdaskan ini literasi nya kang  ,negative
 semoga bermanfaat komeng  seventeen kendrick the eu,positive
 mereka begitu karena iri sama komeng,negative
 sikat semua penyebar judol komeng  seventeen kendrick the eu,positive
komeng mau serius malah diketawain karena temannya lebih seneng ngelawak ,positive
 gerak cepat kemenkominfo komeng  seventeen kendrick the eu,positive
 pecandu judol akan merusak kesehatan mental komeng  seventeen kendrick the eu,positive
 bongkar sindikat judol sampai akarakarnya komeng  seventeen kendrick the eu,positive
 buat hiburan teman² gilakk penghinaan bgt ini kalo saya jd komeng dijamin ngamukk udah ,positive
 saatnya indonesia  berantas judol sampai akarakarnya komeng  seventeen kendrick the eu,neutral
 pecandu judol cendrung melakukan kriminal komeng  seventeen kendrick the eu,negative
viral komeng bingung ditempatkan di komite ii dpd langsung minta arahan pimpinan ,neutral
 bergandengan tangan stop judol komeng  seventeen kendrick the eu,neutral
 jauhi judol dari kehidupan kita komeng  seventeen kendrick the eu,positive
saat di pasar tradisional komeng  seventeen kendrick the eu ,neutral
 dari bang komeng kita tau kenapa dpr penuh lawakan kerja tidak sesuai kemampuan,positive
 pernyataan jujur dari seorang komedian yg bernama komeng sebagai bentuk tanggung jawab sebagai anggota dpd kenapa yg laen malah ketawa ya,positive
 kl anggota dpd kualitas nya bagus mgkn krn non partisan hgg tahu betul tuan nya adlh rakyat smtr kl anggota dpr justru menganggap tuan mrk itu ketum partai dengarkan saat komeng blg pemilih sy itu emak tau sndr mulut emak plg sakti di dunia dia takut mengecewakn pemilihnya,negative
 itu siapa coba yg ngasih tugas bang komeng ngurusin pertanian  kalo ditanya jawabannya template itu perintah dari pusat masa nggak ada yg berani jawab,neutral
 ucapkan komeng adalah ucapan yg jujur,negative
fyi kaki bang komeng emang panjang sebelah dulu pernah ketemu sama temenku pas kecil temenku jatuh dari serodotan sampe lututnya harus dijahit yg akhirnya bikin kakinya juga panjang sebelah waktu ketemu bang komeng sempet ngasih semangat biar dia ga minder,neutral
 di posisi pertanian adalah hinaan agar cucu dari  bisa ditutup kegiatan selama di  gw jamin bang komeng bisa tapi malah jadi tumbal partai kan jadi keliatan siapa dan mengapa di tutupin sebagai tameng dalam isu yang akan dengan menyerang bang komeng,neutral
 karena cuannya lebih banyak di seni dan budaya pa komeng,positive
 bang komeng hrs berguru ke nadiem budi arie ahy yg semuanya bukan jurusan mereka tp berani belajar ,positive
info nobar dibandung,neutral
  minggir bentar biar pa komeng kelihatan kamera ,neutral
 komeng aja dijenggutin seperti itu ya alasannya pun ngawur yaitu agar temen di komite itu bisa dapat hiburan ini seperti pelecehan ke sesama anggota kan lalu gmn pendistribusian para senator lain apakah sistemnya ngacak juga tanpa melihat kompetensi dan keahliannya,neutral
 kehadiran bang komeng di dpd membuka tabir carut marut pantas kinerja dpd selama ini gak nampak wong tempatkan orang tidak kompeten pada bidangnya,positive
 uhuuuyyy bang komeng,positive
yg lain emang pd paham pkomeng uhuuuuy,negative
 ni yg lain pasti pada semangat rapat gak ada lagi yg tidur takut ketinggalan lawakannya komeng wkwk,negative
 di gedung dpr tetep manggilnya pak komeng enggak nama aslinya ,neutral
   yg bilang komeng demokrat siapa tong gue ngomongin buzzer mandro itu,neutral
  lanjut dong masa segitu doang  kirain mau pamer kebodohan lebih jauh lagi kalau cuma begini mah gak lucu ah komeng tetap lebih lucu ternyata uhhuy,positive
 kira² dampaknya ada nggak sama para pemilih komeng untuk  tahun kedepan di dapil jika komeng bener² ditempatkan di komisi  membidangi pertanian yang jelas² bukan bidang nya komeng,neutral
   bang udah tololnya bangkomeng dari dpdbukan pd demokrat,positive
  komeng dalam kampanyenya juga ingin mengembangkan kebudayaan makanya ingin ke komisi yang berhubungan dengan seni budaya beliau sudah belajar tapi dalam konteks kebudayaan,positive
untung yg ngomong komeng klo yg lain pasti dirujak,positive
 nahkan ga sesuai ekspektasinya bang komeng dulu buat merjuangin seni budaya indonesia karena beliau dikasih pekerjaan yg bukan bidangnya dan yg bikin indonesia susah maju ya begitu menaruh pejabat bukan pada kemampuan dan bidangnya,positive
  wah pikiran lu positif sekali buat pimpinannya coba pikir lagi jika komeng di taruh di bidang yg dia mengerti bisa merugikan suatu kepentingan,negative
komeng atau alfiansyah bustami anggota dpd ri melakukan interupsi ke pimpinan pada rapat paripurna penetapan penugasan dpd ri komeng mengaku bingung ditugaskan di komite ii dpd ri yang tidak sesuai dengan bidangnya hal itu disampaikan komeng dalam rapat paripurna dpd ri ,neutral
tapi kenapa ditaro di tempat yg emang bukan bidangnya ya padahal komeng emang keahlian bidangnya seni dan budaya dan pasti smuanya tau tapi kenapa malah dimasukin ke yang bukan bidangnya harusnya bisa jadi aset kuat buat bidang seni dan budaya,neutral
   btw kalo mba r mau nanjak butuh guide hubungin komeng aja dia abis pelatihan wanadri udah bisa baca arah angin,neutral
komeng debest,positive
 bagusnya bilang bang komeng foto bareng yok ini minta foto mana ada dibawa fotonya ,neutral
 cocok dia ama komeng,positive
viral komeng protes ditugasi di komite pertanian dpd amp disuruh belajar saya harus belajar kemana  ,positive
video komeng linglung minta arahan pimpinan dpd justru ditertawai  ,neutral
 gpp bang komeng bisa belajar jg buktiin klo pelawak masuk pemerintahan tidak melawak,positive
 jadi pengen jadi anggota dpdnya karena ada bang komeng biar bisa liat lawakan terus udah bosen di lawakin ama raja nipu negoro dkk,positive
 ini ga bisa disepelekan seeh prnyataanamp prtanyaan komeng ini indikasi ada potensi kegagalan lembaga lesgislasi mpr dpr dpd dlm mengemban tugasnya kompetensi diabaikan jangankan aspirasi rakyat aspirasi anggota aja terabaikan hasilnya potensi uu yg tdk pro rakyat,positive
video komeng linglung minta arahan pimpinan dpd justru ditertawai anggota  ,neutral
 bang komeng harus hati kalo mau ngomong dgn yg punya kursi di depan dia salah ngomong dikit resikonya bakalan diblock,negative
eh lah perasaan kemarin liat vt komeng jawab dia di senbud kenapa tbtb di pertanian,neutral
 mantap bang komeng uhuy ,positive
 all in komeng ,neutral
 serahkan urusan pada ahlinya berdasarkan kompetensi keilmuannya bukan atas dasar kolusi nepotisme balas jasa atau bagibagi jabatan nah kang komeng kan ahli na di seni budaya ari ieu,neutral
   wah yang itu saya no komeng gatau juga intensinya pimpinan gimana tapi sepertinya alasan komeng protes karena itu,negative
  itulah bang komeng ,positive
 pimpinannya lebih kocak dari bang komeng ternyata,positive
 kenapa komeng disimpan di bidang pertanian bukan di bidangnya seni dan budaya ya karena kalau komeng disimpan sesuai bidangnya bakal mengganggu kepentingan mereka anyiiiing ,neutral
 ah bang komeng ga berani out of the box waiting tresno jalaran seko kuliner yang penting kan niatnya lebih penting lagi tunjangannya kapan lagi ye kan ,neutral
 sehat² bang komeng dari yg mencoblos mu karena ngga tau mau coblos siapa ,positive
 pak komeng sudah benar itu tdk perlu diketawain itu pimpinanya mbok yao sdh diberi karunia tuhan yg sangat berharga utk mengisi kepala manusia maka pakailah pasti ketemu logika nya kalo pak komeng memang layak masuk komisi seni budaya  ,positive
 karena komeng punya tujuan yg lain mah niatnya kerja jd taruh mana aja mau,negative
 kata komeng cape gue ah ,negative
 harusnya bg komeng foto bareng yuk ,neutral
 yah sengaja ditaro di tmpt yg salah ini komeng dibikin ga betah pasti,negative
 mantap bang komeng pahamnya seni budaya tapi malah ditaruh ke komite pertanian wajar bertanya seperti itu karena memang bukan bidangnya,positive
 tetap respect sama komeng walau pun dengernya ttp ketawa ,positive
 jadi stereotype tiap kali komeng bicara dianggap melawak padahal yg disampaikan sangat serius,negative
  pernah punya kawan kayak bg komeng gini aku ajak kerumah kenalan sama om aku trus di tanya sama si om langsung ke teman aku kenapa gaya berjalan nya kayak gitu kasihan dong pemerintah udah buat fasilitas jalan bagus²  wkwkwk,negative
 mending komeng wapresnya cuk bisa self healing ,neutral
 bagus nih bang komeng bikin politik kita jd full tawa,positive
komeng mode pejabat  lewat ,negative
komeng for ri,neutral
beginilah wajah lembaga terhormat ada yang pengen kerja sesuai keahliannya ditaruhtaruh sembarangan saya jadi malah kasian bang komeng semoga tahan lah  tahun bang,positive
 komeng komeng komeng ,positive
 wwww bang jangan gitu kan kita satu team di yamaha ama di gerindra bang semangatttt bang suara rakyat ada di ada komeng,neutral
 kim komeng oppa,neutral
 kalau komeng yg guyon aq percaya dechhh,positive
bener kata komeng jangan menaruh orang memimpin yang bukan keahliannya,positive
 sekelas komeng org udh ngga bisa bedain mana pernyataan yg lawak atau serius semua dianggap lucu tapi ada benernya jg dia tanya begitu krn merasa bukan bidangnya mungkin kalau yg lain tetep terima aja yg penting udh dilantik,negative
komeng bingung ditugasi di komite ii dpd saya harus belajar ke mana ,neutral
ampun bangggg original     ,neutral
 next  bang komeng minta duit ,neutral
   hadeh gw tau itu makanya gw bilang pincang pincang karena panjang sebelah dulu di wara wiri parah jalannya makanya gw bilang sekarang agak mendingan bang komeng kalo jalan,negative
 komeng resah karena bukan bidangnya dan takut kalo gak bisa optimal dalam bekerja kalo yang lain terimaterima aja ya ,negative
 mau dapet salam dari komeng sunbaenim,neutral
 i feel teary eyed longing for the days when these shows were airingim currently watching wara wiri ramadhan acara yang sarat pesan agama dari ustaz subki tapi disalahpahami sama bang komeng dan adul super lucu wkwk ,positive
    emg raja kompor lo jelek,negative
 gajelas loe,positive
usai dilantik menjadi anggota dewan perwakilan daerah dpd ri komedian alfiansyah atau kerap disapa komeng selalu membuat kelucuan dalam video terlihat komeng yang menggunakan jas berwarna hitam sedang berjalan kaki diduga ingin segera melaksanakan rapat baca di sini ,neutral
 kgk menerima komeng dari lu,negative
  lah baru tau komeng lu kaki dia kan pincang itu agak mendingan dulu parah sampe deglig,negative
  satu hal yg ga bisa komeng becandain ya soal kakinya ini,negative
butuh gawe anjir udah miskin ghuwe,negative
 komeng,positive
 selain komeng gw ga pernah pilih wakil rakyat dari kalangan artis maaf maaf nih kadang suka baperan klo di kritik,negative
bangsat komeng sii gaabis lucunya,negative
  buat yang yang gak tahu itu kelainan fisik bang komeng,negative
 gini doang gw ngakak aaahhh komeng ,positive
komeng brengsek ,positive
alfi  komeng aku  ih komeng mah kucing kamu yaa sambil ngakak alfi  ih apasi aku mah petong aku  eh iya ya salah orang maap maap komeng mah lain niat ngeledekin ngakak flashback,positive
komeng,positive
   bg komeng boleh saya pukul gitu harusnya,negative
 ett jeman kw disini tapi ngga kw banget karena sebenernya kita kembar kamu diem aja winteo ku biar aku yang ngejar karena sudah siap semangat  bucinin dde gemes survey masyarakat sekitar aku emang asbun dibilang kaya komeng jegel sule kurang lucu apa lagi aa neng ,positive
 klo sekedar menyambut dgn kebutuhan properti ya ga masalah lu aja sirik kayaknya bang komeng pak tarsan manggung acara sejenis jg pakai baju tni ga masalah krn mmg temanya ultah tni,neutral
 tetep no komeng ya kak ,positive
komeng protes ditempatkan tidak sesuai keahliannya di komite ii bidang hutanpertanian penjelasan ketua dpd begini  ,neutral
komeng bingung diminta urus pertanian pengamat ada faksifaksi yang ingin berkuasa    ,negative
 kalo saya jadi komeng sy turuti sja palingan cuma dtg ke kantor doang habis itu gajian ngk perlu kerja,neutral
 udah disindir sm komeng padahal tp yg diajak ngomong mlh kyk org main main gitu jawabnya,negative
top  news komeng ditempatkan di komite dpd bidang pertanian hingga performa wasit ahmed al kaf disorot media internasional    ,neutral
 semoga dengan adanya komeng di komisi  salah satu bidangnya pertanian semoga para petani indonesia terhibur dengan lawakannya,positive
kok keberadaan komeng hanya utk hiburan nih anggt  pekok ammat yakok leceh skl pd komeng,neutral
komeng koki meng ,neutral
indon be like alter rt like komeng salah bagiin taruhan ke alternya sendiri plus plos tp rame ampgadgement ,negative
dd sini main ke dorm abg nanti ada si komeng koki meng,neutral
 dan akhirnya komeng paham bagaimana cara kerja pejabat yang buat konoha gak pernah maju,negative
 ya benar lah komeng pekerjaan itu harus tempatkan sesuai kemampuan nya,positive
bener bener lawak bgt ni pimpinannya lanjutkan bang komeng,positive
 komeng banyak yg milih bapak ketua siapa yg pilih,negative
sistem politik kita emang udah seburuk itu komeng yg punya suara terbanyak aja senggak berdaya itu amp harus tunduk arahan pimpinan untuk menempati posisi yang di luar dr expertisenya bayangin kamu susah dapetin suara tapi kamu nggak bisa berdiri atas nama dirimu sendiri,positive
 lu ga berhakk komeng,negative
  ya komeng yg minta dimasukin ke komisi kesenian dan kebudayaan aja malah dimasukin pertanian dgn alasan biar bisa menghibur lah,negative
 itu yg ngeremehin komeng di rapat pada lupa kah kemaren mereka kalah suara jauh ,negative
 mindset ketua  kacau lbh cerdas komeng,negative
 bukannya ngotak malah ketawa ajg gua yakin komeng pun keluar dr ruangan itu langsung geleng pala,positive
kejujuran amp lelucon komeng dalam rapat paripurna  ,negative
parah banget komeng cuman disuruh jadi badut doang di komite ii mentang mentang background pelawak kali kocak kocak ketum nya,positive
 monyett emang komite  butuh komeng buat hiburan doang,neutral
momen komeng bingung ditugaskan di komite ii dpd tapi tak kuasai bidang komedian komeng protes karena ditugaskan di komite ii yang menurutnya tak sesuai dengan keahilannya yakni bidang pertanian ,negative
 tolol banget ketuanya bagus komeng mau speak up dan merasa ga cocok dibidang yg dipilihin karena takut kerjanya ga bener ini malah badut bgt ketuanya,positive
uny sistem pemerintahan indonesia emng sebobrok itu yaa kita ambil contoh dari komeng org seni disuruh ngurus pertanian kan kocak,positive
udahlah jakarta butuh prakar untuk mengatasi masalah pemimpin yg ngasih solusi yang relevan cuma mas pram  dan bang doel nomor  bikin   komeng  oman  war is over  witan  madrid  king indo  pak muh  ,positive
 komeng all the way  bener kata dia knp dia mesti urusin sesuatu hal yg bukan di bidang dia dia ga sok sokan bisa tapi terus terang aja dia huge respect,negative
 sekelas rapat itu saja masih panggil komeng ya kan ada nama asli urusan formal kan itu,negative
 lah komeng auto nyakul njir ,negative
 udah ada komeng,neutral
berarti kesenian sdh jadi lahan basah kah kok sampe praktisi yg ahli di bidangnya tdk diberi wewenang ah nyatanya para dewan lebih lucu ketimbang komeng,negative
 semoga bang komeng amanah,positive
 komeng kan udh mending by sekarang jd anggota dpr,neutral
 baru tau kalo  ga bermanfaat komeng,negative
 di larang komeng kalau ga follow cuy,neutral
 mantap langsung protes emang ga salah kmrn pilih bang komeng ,positive
 komeng,positive
 bang komeng berani jujur itu habat berarti bang komeng hebat itu budaya baru di dprri bang jangan lelah untuk kasih contoh ke mereka biar berpikir selayaknya manusia bukan seperti robot rusak,positive
 banyak yang gak tahu penempatan anggota ke komite dan alat kelengkapan itu atas usulan dan kesepakatan dari masing masing provinsi ini yang diatur dalam tatib dpd ri jadi komeng ke komite ii itu bkn ditunjuk atau diangkat oleh pimpinan dpd ri tetapi oleh anggota dpd asal jabar,neutral
 kawal terus bang komeng sampai jadi gubernur,positive
sumpah ye gue kl di srh beli itu labubu mending gue beli labulabu dah bisa di sayur wkwkwk bahrain ahmad al kaf komeng haram wasit sma  fifa arab oman witan botak curang ,negative
 jangan sampai kejadiang kang mebel yang otaknya kosong jadi presiden terulang bang komeng sadar kapasitasnya tapi sayang pimpinan mencoba membanyol di saat yang salah,negative
sandra dewi sma  komeng jidat open vcs sosmed wa aja  ,neutral
dikira mereka ngelawak padahal si komeng ini ngritik beneran emang dasarrr,negative
malam sma  komeng wasit sandra dewi  ,neutral
 komeng di kasi cobaan ,positive
jangan normalisasi lah menempatkan org ngga sesuai bidangnya komeng tuh seniman paham bgt soal senbud ya hrsnya ditaruh di situ krn pasti bisa menguatkan bidang tsb aku sbnrnya relate sama bang komeng  klo perlu marah marah aja bang,negative
masalahnya adalah ketika komeng bener bener marah orang orang itu nganggepnya lagi nglawak ,negative
 alhamdulillah dengan adanya bang komeng rakyat seindonesia raya tahu bobroknya mereka di parlemen kalau memang mereka masih memaksakan kehendak bang komeng harus tetap di dpd demi orang yang sudah memilih abang   tetap semangat rahayu ,positive
penyusunan kata yg pas pembawaan yg santai tapi poinnya tetep menohok komeng emang jenius ,negative
  anjir komeng diremehin bangt ya dikira masuk sana cuma buat hiburan doang hidup kalian aja udh banyak hiburannya karena ga mikir rakyat kok bisa²nya bilang ky gitu,negative
 komeng serius diajak ngelawak,neutral
malam jumat komeng wasit sandra dewi  ,neutral
menteri ppnkepala bappenas  membahas sejumlah hal saat menghadiri rapat pleno bersama komite ekonomi dan keuangan syariah kneks jumat  sumber berita   presiden afc malik komeng murakami fifa ,neutral
 jaehyun komeng ganteng dah ,negative
bang komeng kalah lucu sama ketumnyalgian dri niat awalnya juga ingin ngurusin di bidang seni malah d suruh ngurus pertanian,positive
dalam menghadapi tantangan perubahan iklim dan kebutuhan pasar yang terus berkembang sektor pertanian termasuk budidaya kelapa perlu beradaptasi dengan cepat sumber berita    el klemer king indo komeng presiden afc ,positive
kecanduan colmwe     sma  komeng haram fifa wasit bahrain haram sandra dewi ,negative
 ini orang yg tunjuk komeng di bidang pertanian ,negative
 so sorry buat mrkomeng,negative
 yg pas itu komeng jd ketua dpd ri krn suaranya   juta pemilih,neutral
 couple fav komeng adul,neutral
 ahmad dhani pernah menjadi salah satu pengurus lembaga seni budaya muslimin indonesia nu jadi lebih cocok ahmad dani yang mewakili seni dan budaya komeng kiprahnya cuma menjadi komedian,positive
tengs nyang udah komeng aku udah beresin kamar tinggal akunya yang bebersih,negative
komeng bukan badut pak,positive
 kasihan komeng masuk kelingkaran konoha dan kekacauan pantesan ngg beres beres indonesia padahal sudah merdeka lama,neutral
 duh bang komeng mimpi apalah kau kemarin ,negative
 poltisasi ke bng komeng ad yg khwatir dgn kehadiran nya ini,negative
reply komennya tolol banget anjg buset,negative
 ketuanya aja begoo kok bisa ngasih aturan ga jelas kasian si komeng,negative
 klo gk ngerti lawak itu bang komeng dianggap sombong pikiran badjingan klo ngerti lawak emang iya dia gk bawa foto ditandakan nyari di celana foto x atau foto x mungkin,neutral
 komeng kayaknya lagi marah aja malah pada ketawa ,positive
 lebih lucu pimpinan dewan daripada komeng malahan,positive
pbsi klo masih mau mempertahankan pasangan xd ini gatau blg ya no komeng,neutral
 mas bro komeng maju lewat jalur independen bukan dari parpol,positive
komeng ditaro di komite ii karna mereka butuh komeng sebagai hiburan dagelan beneran ni negara ,negative
 watching komeng,positive
kalo jadi komeng sakit hati kali ya biar ada hiburan trollllllll,negative
 media belanda soroti wasit bahrain vs indonesia   ahmed al kaf witan qatar king indo malik komeng robbed indonesia argentina,neutral
justru yg komedi malah ketua komite nya masa pertimbangan buat naro bang komeng di komisi  karena biar ada hiburan buat anggota dpd lain kok masih ada aja pejabat kayak gini cara pikirnya hadehhh hadehhhh,negative
awalnya skeptis sama komeng ngapain artis jadi politisi tapi setelah nonton ini jadi sadar bahwa beliau awal karirnya di masa soeharto yg artinya banyak pelawak di jaman itu nyalinya gak diragukan contohnya warkop dki rispek bang komeng,neutral
sma  sandra dewi witan komeng gaya gue haram bahrain wasit shame arab,negative
malam jumat komeng wasit sandra dewi  ,neutral
jawabannya ngeselin banget heran deh pak kalo mau hiburan ya bayar sesuai ratenya dikira komeng ngelawak gratis dikira komeng maju pemilihan kmrn buat jd badutnya bapak ibu di komite beliau mau bekerja untuk rakyat pak yg bener aja ,neutral
 simamak banteng payah coba kl gubeenurnya rano karno wakilnya komeng uhuy gw jamin menang    berhubung calonya parno vs rakus nanti diprank lagi yang menang kotak kosong yg menang gub give away lagiheruckxk,neutral
 semoga kalo rapat gak pada tidur lagi yak soalnya ada komeng yg lucu ,positive
kehadiran komeng menjadi senator dpd ri memberi kesadaran lama yang baru terbuka kalau banyak anggota parlemen yang bekerja tidak sesuai bidang yang dikuasainya,neutral
kecanduan colmwe     sma  komeng wasit haram  ,negative
